country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
CD,15.674886408150298,16.5089441447183,17.5423165255473,18.6344836603004,56.089536,57.92684,59.834875,61.809278,8.19999980926514,8.19999980926514,8.19999980926514,8.19999980926514
CF,1.69415550607145,1.77498511259064,1.8567681703157999,1.8949086201949001,4.055608,4.127112,4.202104,4.280405,7.0,6.90000009536743,6.90000009536743,7.0
CG,9.30792084519521,9.88836251104569,9.73190658975001,10.2741941339768,3.503086,3.604595,3.715665,3.832771,6.59999990463257,6.59999990463257,6.59999990463257,6.59999990463257
CH,520.661983411641,541.555032026081,563.977296960399,576.8204140377791,7.437115,7.483934,7.551117,7.647675,4.40000009536743,4.0,3.59999990463257,3.40000009536743
CI,22.3007670391796,22.6388115133749,23.0383948639785,23.6242247240402,18.132702,18.486392,18.862172,19.261647,4.09999990463257,4.09999990463257,4.09999990463257,4.09999990463257
CL,183.282478637988,191.356021768125,201.231572326427,207.85703108439,16.096571,16.279728,16.462701,16.64594,8.0,7.69999980926514,7.09999990463257,7.80000019073486
CM,20.464660330807302,21.1244415906486,21.812182534856603,22.4412559637758,18.126999,18.597109,19.0781,19.570418,4.40000009536743,4.09999990463257,4.09999990463257,4.19999980926514
CN,3569.8531448264303,4023.9198666521,4596.57951712051,5040.34660494495,1303.72,1311.02,1317.885,1324.655,4.09999990463257,4.0,3.79999995231628,4.40000009536743
CO,229.936852450343,245.336908226293,262.266694764289,271.568782707966,43.285636,43.835744,44.374647,44.90166,12.0,11.6999998092651,11.1999998092651,11.1000003814697
CR,29.5396528948114,31.677654043115798,34.265051917216596,35.858239321307096,4.247843,4.30879,4.369465,4.429506,6.59999990463257,5.90000009536743,4.59999990463257,4.90000009536743
CU,49.483699921906194,55.45430710707701,59.4814748805381,61.9302249285733,11.261052,11.275199,11.284043,11.290239,1.89999997615814,1.89999997615814,1.79999995231628,1.60000002384186
CV,1.252563797499,1.3525653652813598,1.5577588368993298,1.66135790768814,0.474224,0.478265,0.481278,0.483824,9.60000038146973,9.5,9.39999961853027,9.39999961853027
