country,year,gdp,pop,unemp
GH,2008,28.4409589478913,23.115919,4.30000019073486
GI,2005,NA,0.02908,NA
GI,2006,NA,0.029437,NA
GI,2007,NA,0.02977,NA
GI,2008,NA,0.030089,NA
GL,2005,NA,0.056935,NA
GL,2006,NA,0.056774,NA
GL,2007,NA,0.056555,NA
GL,2008,NA,0.056328,NA
GM,2005,0.7580125418000521,1.440542,7.19999980926514
GM,2006,0.766533358521271,1.487731,7.09999990463257
GM,2007,0.79436638048455,1.536424,7.09999990463257
GM,2008,0.8399204481433721,1.586749,7.09999990463257
GN,2005,4.25688757970004,9.669023,2
GN,2006,4.3631705080501,9.898301,2
GN,2007,4.439861186002,10.152521,2
GN,2008,4.65905414511409,10.427356,2
GQ,2005,12.0728802646495,0.625866,6.80000019073486
GQ,2006,13.0030857416938,0.645718,6.90000009536743
GQ,2007,14.9902321177878,0.665798,6.80000019073486
GQ,2008,17.658359891779998,0.686223,6.80000019073486
GR,2005,304.350353112583,10.987314,9.80000019073486
GR,2006,321.553555099338,11.020362,8.89999961853027
GR,2007,332.080404503311,11.048473,8.30000019073486
GR,2008,330.967362119205,11.077841,7.69999980926514
GT,2005,34.550949806251,13.183505,2.40000009536743
GT,2006,36.4097137757461,13.490041,1.79999995231628
GT,2007,38.705002717411595,13.797629,2.5
GT,2008,39.9749447491811,14.106687,2.79999995231628
GU,2005,NA,0.158401,NA
GU,2006,NA,0.158429,NA
GU,2007,NA,0.158332,NA
GU,2008,NA,0.15831,NA
GW,2005,0.719829967078461,1.462784,6.80000019073486
GW,2006,0.7364562406384421,1.494603,6.90000009536743
GW,2007,0.760060013979463,1.527342,6.80000019073486
GW,2008,0.784438005598301,1.561293,6.80000019073486
GY,2005,1.82608823543381,0.742495,12.6000003814697
GY,2006,1.9197594283873,0.743705,11.1999998092651
GY,2007,2.05453255800142,0.745638,10.8000001907349
GY,2008,2.09514341488214,0.748096,11.8000001907349
HK,2005,188.649168980875,6.8132,5.59999990463257
HK,2006,201.916073446799,6.8571,4.80000019073486
HK,2007,214.969458081786,6.9163,4
HK,2008,219.54385484504098,6.9578,3.59999990463257
HN,2005,13.1765219713923,6.880181,4.19999980926514
HN,2006,14.0418562609069,7.007029,3.09999990463257
HN,2007,14.9108122666208,7.133737,2.90000009536743
HN,2008,15.5417782149109,7.25947,3.09999990463257
HR,2005,58.2991303715024,4.442,12.6000003814697
HR,2006,61.088814230615306,4.44,11.1000003814697
HR,2007,64.23489120547251,4.436,9.60000038146973
HR,2008,65.5538683004039,4.434508,8.39999961853027
HT,2005,6.37973266560388,9.263409,7.40000009536743
HT,2006,6.5232270101357805,9.409479,7.30000019073486
HT,2007,6.741316689841191,9.556958,7.19999980926514
HT,2008,6.79820964976433,9.70513,7.40000009536743
HU,2005,131.565062988843,10.087065,7.19999980926514
HU,2006,136.637877354044,10.07137,7.5
HU,2007,137.250490809849,10.05578,7.40000009536743
HU,2008,138.470928385592,10.038188,7.80000019073486
ID,2005,571.2049544346579,226.254703,11.1999998092651
ID,2006,602.626663572802,229.26398,10.3000001907349
ID,2007,640.863459320349,232.29683,9.10000038146973
ID,2008,679.4030882451669,235.360765,8.39999961853027
